address_id,zone_type,platform,avg_price,avg_delivery_fee,avg_eta_mid,rappi_avg_price,rappi_avg_delivery_fee,rappi_avg_eta_mid,avg_price_gap_vs_rappi,avg_delivery_fee_gap_vs_rappi,avg_eta_mid_gap_vs_rappi
centro-001,historic,didi_food,118.125,20.0,33.0,121.5,22.0,27.0,-3.375,-2.0,6.0
centro-001,historic,uber_eats,124.25,18.0,30.0,121.5,22.0,27.0,2.75,-4.0,3.0
condesa-001,central,didi_food,119.125,19.0,32.0,124.0,,16.0,-4.875,,16.0
condesa-001,central,uber_eats,125.25,17.0,29.0,124.0,,16.0,1.25,,13.0
coyoacan-001,family,didi_food,118.125,22.0,37.0,121.5,24.0,31.0,-3.375,-2.0,6.0
coyoacan-001,family,uber_eats,124.25,20.0,34.0,121.5,24.0,31.0,2.75,-4.0,3.0
delvalle-001,residential,didi_food,117.125,20.0,34.0,130.0,,35.0,-12.875,,-1.0
delvalle-001,residential,uber_eats,123.25,18.0,31.0,130.0,,35.0,-6.75,,-4.0
doctores-001,central_working,didi_food,114.125,19.0,33.0,117.5,21.0,27.0,-3.375,-2.0,6.0
doctores-001,central_working,uber_eats,120.25,17.0,30.0,117.5,21.0,27.0,2.75,-4.0,3.0
ermita-001,high_density_east,didi_food,111.125,26.0,44.0,114.5,28.0,38.0,-3.375,-2.0,6.0
ermita-001,high_density_east,uber_eats,117.25,24.0,41.0,114.5,28.0,38.0,2.75,-4.0,3.0
insurgentes-001,commercial_corridor,didi_food,117.125,20.0,34.0,120.5,22.0,28.0,-3.375,-2.0,6.0
insurgentes-001,commercial_corridor,uber_eats,123.25,18.0,31.0,120.5,22.0,28.0,2.75,-4.0,3.0
iztapalapa-001,high_density,didi_food,112.125,25.0,42.0,115.5,27.0,36.0,-3.375,-2.0,6.0
iztapalapa-001,high_density,uber_eats,118.25,23.0,39.0,115.5,27.0,36.0,2.75,-4.0,3.0
lindavista-001,peripheral,didi_food,113.125,24.0,39.0,116.5,26.0,33.0,-3.375,-2.0,6.0
lindavista-001,peripheral,uber_eats,119.25,22.0,36.0,116.5,26.0,33.0,2.75,-4.0,3.0
lomas-001,high_income_west,didi_food,124.125,22.0,31.0,127.5,24.0,25.0,-3.375,-2.0,6.0
lomas-001,high_income_west,uber_eats,130.25,20.0,28.0,127.5,24.0,25.0,2.75,-4.0,3.0
napoles-001,residential_mid,didi_food,115.125,21.0,35.0,118.5,23.0,29.0,-3.375,-2.0,6.0
napoles-001,residential_mid,uber_eats,121.25,19.0,32.0,118.5,23.0,29.0,2.75,-4.0,3.0
narvarte-001,residential,didi_food,115.125,21.0,35.0,118.5,23.0,29.0,-3.375,-2.0,6.0
narvarte-001,residential,uber_eats,121.25,19.0,32.0,118.5,23.0,29.0,2.75,-4.0,3.0
pedregal-001,high_income_south,didi_food,122.125,22.0,36.0,125.5,24.0,30.0,-3.375,-2.0,6.0
pedregal-001,high_income_south,uber_eats,128.25,20.0,33.0,125.5,24.0,30.0,2.75,-4.0,3.0
polanco-001,high_income,didi_food,123.125,20.0,30.0,126.5,22.0,24.0,-3.375,-2.0,6.0
polanco-001,high_income,uber_eats,129.25,18.0,27.0,126.5,22.0,24.0,2.75,-4.0,3.0
roma-001,central,didi_food,120.125,18.0,32.0,124.0,,28.0,-3.875,,4.0
roma-001,central,uber_eats,126.25,16.0,29.0,124.0,,28.0,2.25,,1.0
santafe-001,business,didi_food,125.125,23.0,38.0,128.5,25.0,32.0,-3.375,-2.0,6.0
santafe-001,business,uber_eats,131.25,21.0,35.0,128.5,25.0,32.0,2.75,-4.0,3.0
tlahuac-001,peripheral_east,didi_food,110.125,27.0,46.0,113.5,29.0,40.0,-3.375,-2.0,6.0
tlahuac-001,peripheral_east,uber_eats,116.25,25.0,43.0,113.5,29.0,40.0,2.75,-4.0,3.0
tlalpan-001,peripheral_south,didi_food,116.125,23.0,39.0,119.5,25.0,33.0,-3.375,-2.0,6.0
tlalpan-001,peripheral_south,uber_eats,122.25,21.0,36.0,119.5,25.0,33.0,2.75,-4.0,3.0
vallejo-001,working_class,didi_food,112.125,24.0,40.0,115.5,26.0,34.0,-3.375,-2.0,6.0
vallejo-001,working_class,uber_eats,118.25,22.0,37.0,115.5,26.0,34.0,2.75,-4.0,3.0
xochimilco-001,peripheral_south,didi_food,113.125,25.0,41.0,116.5,27.0,35.0,-3.375,-2.0,6.0
xochimilco-001,peripheral_south,uber_eats,119.25,23.0,38.0,116.5,27.0,35.0,2.75,-4.0,3.0
